POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Nationality,Team,Season
54,Paras Dogra,9,8,0,107,41,13.37,106,100.94,0,0,4,5,Indian,Rajasthan Royals,2010
55,Harbhajan Singh,15,7,3,105,49,26.25,63,166.66,0,0,12,5,Indian,Mumbai Indians,2010
56,Brad Hodge,4,4,0,99,50,24.75,90,110,0,1,11,1,Overseas,Kolkata Knight Riders,2010
57,David Hussey,6,6,2,94,31,23.5,86,109.3,0,0,5,5,Overseas,Kolkata Knight Riders,2010
58,Ross Taylor,7,7,3,88,31,22,75,117.33,0,0,2,6,Overseas,Royal Challengers Bangalore,2010
59,Kedar Jadhav,5,5,2,76,50,25.33,56,135.71,0,1,7,2,Indian,Delhi Capitals,2010
60,Parthiv Patel,4,4,0,72,57,18,79,91.13,0,1,6,2,Indian,Chennai Super Kings,2010
61,Wriddhiman Saha,13,7,4,67,22,22.33,53,126.41,0,0,9,1,Indian,Kolkata Knight Riders,2010
62,Ryan McLaren,10,7,4,66,40,22,69,95.65,0,0,7,0,Overseas,Mumbai Indians,2010
63,Andrew McDonald,4,3,3,65,33,0,52,125,0,0,3,2,Overseas,Delhi Capitals,2010
66,Piyush Chawla,14,6,1,62,22,12.4,60,103.33,0,0,7,0,Indian,Kings Xi Punjab,2010
67,Dwayne Bravo,10,8,1,61,23,8.71,53,115.09,0,0,3,4,Overseas,Mumbai Indians,2010
68,Abhishek Nayar,3,3,1,58,27,29,51,113.72,0,0,4,2,Indian,Mumbai Indians,2010
69,Abhishek Raut,6,5,3,56,32,28,48,116.66,0,0,3,3,Indian,Rajasthan Royals,2010
70,Aditya Tare,7,4,0,50,23,12.5,36,138.88,0,0,5,3,Indian,Mumbai Indians,2010
71,Cameron White,7,5,3,48,21,24,33,145.45,0,0,3,3,Overseas,Royal Challengers Bangalore,2010
73,Tillakaratne Dilshan,6,6,0,44,17,7.33,53,83.01,0,0,6,0,Overseas,Delhi Capitals,2010
74,Graeme Smith,2,2,0,44,26,22,39,112.82,0,0,7,0,Overseas,Rajasthan Royals,2010
75,Adrian Barath,3,3,1,42,33,21,42,100,0,0,5,1,Overseas,Kings Xi Punjab,2010
76,Ajit Agarkar,7,4,3,40,17,40,29,137.93,0,0,4,0,Indian,Kolkata Knight Riders,2010
77,Amit Mishra,14,7,3,39,12,9.75,51,76.47,0,0,1,0,Indian,Delhi Capitals,2010
78,Michael Hussey,3,3,1,37,15,18.5,44,84.09,0,0,2,0,Overseas,Chennai Super Kings,2010
79,Laxmi Ratan Shukla,4,2,0,36,19,18,26,138.46,0,0,3,2,Indian,Kolkata Knight Riders,2010
80,Eoin Morgan,6,4,1,35,17,11.66,30,116.66,0,0,2,1,Overseas,Royal Challengers Bangalore,2010
82,Aditya Dole,3,2,0,34,30,17,22,154.54,0,0,3,1,Indian,Rajasthan Royals,2010
84,Daniel Vettori,3,3,2,33,19,33,27,122.22,0,0,4,0,Overseas,Delhi Capitals,2010
85,Sanath Jayasuriya,4,4,0,33,23,8.25,31,106.45,0,0,4,1,Overseas,Mumbai Indians,2010
86,MF Maharoof,7,4,1,31,28,10.33,23,134.78,0,0,2,2,Overseas,Delhi Capitals,2010
88,Ravichandran Ashwin,12,6,2,30,11,7.5,40,75,0,0,2,0,Indian,Chennai Super Kings,2010
90,Mohammad Kaif,4,3,0,28,14,9.33,30,93.33,0,0,2,0,Indian,Kings Xi Punjab,2010
92,Vinay Kumar,14,5,1,27,10,6.75,32,84.37,0,0,1,0,Indian,Royal Challengers Bangalore,2010
93,Shanthakumaran Sreesanth,6,3,3,27,15,0,21,128.57,0,0,5,0,Indian,Kings Xi Punjab,2010
94,Sridharan Sriram,1,1,0,27,27,27,29,93.1,0,0,3,0,Indian,Royal Challengers Bangalore,2010
95,JM Kemp,5,2,0,26,22,13,24,108.33,0,0,1,1,Overseas,Chennai Super Kings,2010
96,Rajat Bhatia,5,3,0,24,21,8,17,141.17,0,0,1,2,Indian,Delhi Capitals,2010
97,Zaheer Khan,14,4,3,24,23,24,13,184.61,0,0,3,1,Indian,Mumbai Indians,2010
98,Ashish Nehra,4,2,1,23,22,23,20,115,0,0,2,1,Indian,Delhi Capitals,2010
99,Murali Kartik,10,2,0,22,21,11,22,100,0,0,2,0,Indian,Kolkata Knight Riders,2010
1,Matthew Hayden,12,12,1,572,89,52,395,144.81,0,5,60,22,Overseas,Chennai Super Kings,2009
3,Suresh Raina,14,14,0,434,98,31,308,140.9,0,2,37,21,Indian,Chennai Super Kings,2009
4,JP Duminy,13,12,3,372,62,41.33,325,114.46,0,5,26,11,Overseas,Mumbai Indians,2009
6,Brad Hodge,12,12,3,365,73,40.55,310,117.74,0,3,34,9,Overseas,Kolkata Knight Riders,2009
7,Sachin Tendulkar,13,13,2,364,68,33.09,303,120.13,0,2,39,10,Indian,Mumbai Indians,2009
9,Jacques Kallis,15,15,2,361,69,27.76,332,108.73,0,3,37,8,Overseas,Royal Challengers Bangalore,2009
10,Yuvraj Singh,14,14,2,340,58,28.33,294,115.64,0,2,25,16,Indian,Kings Xi Punjab,2009
11,Kumar Sangakkara,14,13,2,332,60,30.18,324,102.46,0,2,29,5,Overseas,Kings Xi Punjab,2009
12,MS Dhoni,14,13,5,332,58,41.5,261,127.2,0,2,22,9,Indian,Chennai Super Kings,2009
13,Ravindra Jadeja,13,13,2,295,42,26.81,266,110.9,0,0,21,6,Indian,Rajasthan Royals,2009
14,Brendon McCullum,13,13,1,285,84,23.75,239,119.24,0,2,27,12,Overseas,Kolkata Knight Riders,2009
15,Ross Taylor,11,11,2,280,81,31.11,208,134.61,0,1,20,15,Overseas,Royal Challengers Bangalore,2009
16,Rahul Dravid,13,12,0,271,66,22.58,234,115.81,0,1,28,3,Indian,Royal Challengers Bangalore,2009
18,Virat Kohli,16,13,2,246,50,22.36,219,112.32,0,1,22,8,Indian,Royal Challengers Bangalore,2009
19,Yusuf Pathan,13,13,1,243,62,20.25,183,132.78,0,1,24,12,Indian,Rajasthan Royals,2009
21,Sanath Jayasuriya,12,12,0,221,52,18.41,192,115.1,0,2,23,7,Overseas,Mumbai Indians,2009
22,Mahela Jayawardene,10,10,4,219,52,36.5,165,132.72,0,1,17,7,Overseas,Kings Xi Punjab,2009
23,Dwayne Bravo,11,10,2,218,70,27.25,203,107.38,0,2,15,8,Overseas,Mumbai Indians,2009
25,Graeme Smith,12,12,1,212,77,19.27,216,98.14,0,1,27,1,Overseas,Rajasthan Royals,2009
26,Irfan Pathan,14,12,2,196,39,19.6,158,124.05,0,0,17,6,Indian,Kings Xi Punjab,2009
27,Abhishek Nayar,13,11,2,193,35,21.44,152,126.97,0,0,14,7,Indian,Mumbai Indians,2009
28,Sourav Ganguly,13,11,0,189,46,17.18,207,91.3,0,0,13,6,Indian,Kolkata Knight Riders,2009
29,Subramaniam Badrinath,14,11,2,177,59,19.66,164,107.92,0,1,20,4,Indian,Chennai Super Kings,2009
30,Robin Uthappa,15,13,2,175,66,15.9,170,102.94,0,1,18,3,Indian,Royal Challengers Bangalore,2009
31,Chris Gayle,7,7,1,171,44,28.5,143,119.58,0,0,15,10,Overseas,Kolkata Knight Riders,2009
32,Manish Pandey,5,4,2,168,114,84,118,142.37,1,0,17,4,Indian,Royal Challengers Bangalore,2009
33,Naman Ojha,8,8,1,168,68,24,144,116.66,0,2,11,11,Indian,Rajasthan Royals,2009
34,Mark Boucher,12,9,4,150,48,30,116,129.31,0,0,8,6,Overseas,Royal Challengers Bangalore,2009
35,Simon Katich,9,9,0,145,50,16.11,117,123.93,0,1,15,6,Overseas,Kings Xi Punjab,2009
36,Ajinkya Rahane,8,7,1,144,62,24,123,117.07,0,2,12,3,Indian,Mumbai Indians,2009
37,Parthiv Patel,9,9,0,142,36,15.77,126,112.69,0,0,19,2,Indian,Chennai Super Kings,2009
38,Ravi Bopara,5,5,0,138,84,27.6,119,115.96,0,1,8,7,Overseas,Kings Xi Punjab,2009
39,Karan Goel,9,9,1,124,38,15.5,133,93.23,0,0,9,4,Indian,Kings Xi Punjab,2009
41,Roelof van der Merwe,10,8,0,122,35,15.25,98,124.48,0,0,8,8,Overseas,Royal Challengers Bangalore,2009
42,Sunny Sohal,8,8,0,115,43,14.37,93,123.65,0,0,9,8,Indian,Kings Xi Punjab,2009
43,Shane Warne,13,11,3,108,34,13.5,116,93.1,0,0,6,4,Overseas,Rajasthan Royals,2009
44,Rob Quiney,7,7,0,103,51,14.71,102,100.98,0,1,12,3,Overseas,Rajasthan Royals,2009
45,David Hussey,4,4,0,98,43,24.5,59,166.1,0,0,7,6,Overseas,Kolkata Knight Riders,2009
46,Swapnil Asnodkar,8,8,0,98,44,12.25,93,105.37,0,0,11,4,Indian,Rajasthan Royals,2009
47,Albie Morkel,12,10,6,97,21,24.25,70,138.57,0,0,8,4,Overseas,Chennai Super Kings,2009
48,Kevin Pietersen,6,6,0,93,37,15.5,85,109.41,0,0,8,2,Overseas,Royal Challengers Bangalore,2009
49,Jacob Oram,11,8,2,88,41,14.66,93,94.62,0,0,5,4,Overseas,Chennai Super Kings,2009
50,Harbhajan Singh,13,10,2,84,20,10.5,53,158.49,0,0,6,5,Indian,Mumbai Indians,2009
51,Laxmi Ratan Shukla,9,6,1,83,48,16.6,85,97.64,0,0,5,3,Indian,Kolkata Knight Riders,2009
52,Lee Carseldine,5,5,1,81,39,20.25,68,119.11,0,0,11,0,Overseas,Rajasthan Royals,2009
53,Abhishek Raut,9,7,3,78,36,19.5,61,127.86,0,0,5,3,Indian,Rajasthan Royals,2009
54,Wriddhiman Saha,8,7,4,72,25,24,41,175.6,0,0,3,4,Indian,Kolkata Knight Riders,2009
56,Ajit Agarkar,11,7,5,66,39,33,57,115.78,0,0,3,3,Indian,Kolkata Knight Riders,2009
57,Praveen Kumar,13,8,3,65,14,13,46,141.3,0,0,1,6,Indian,Royal Challengers Bangalore,2009
59,Andrew Flintoff,3,3,1,62,24,31,53,116.98,0,0,5,2,Overseas,Chennai Super Kings,2009
60,Murali Vijay,4,4,0,60,31,15,67,89.55,0,0,4,2,Indian,Chennai Super Kings,2009
61,Jesse Ryder,5,5,0,56,32,11.2,49,114.28,0,0,9,0,Overseas,Royal Challengers Bangalore,2009
62,Shreevats Goswami,2,2,0,53,43,26.5,60,88.33,0,0,6,0,Indian,Royal Challengers Bangalore,2009
63,Pinal Shah,9,5,2,53,29,17.66,51,103.92,0,0,4,2,Indian,Mumbai Indians,2009
64,Vinay Kumar,11,8,3,47,12,9.4,44,106.81,0,0,4,1,Indian,Royal Challengers Bangalore,2009
65,Yashpal Singh,8,4,0,47,20,11.75,66,71.21,0,0,5,0,Indian,Kolkata Knight Riders,2009
66,Johan Botha,3,3,1,47,37,23.5,40,117.5,0,0,5,0,Overseas,Rajasthan Royals,2009
67,George Bailey,3,2,0,45,30,22.5,39,115.38,0,0,7,0,Overseas,Chennai Super Kings,2009
68,Luke Pomersbach,4,4,0,41,26,10.25,49,83.67,0,0,3,1,Overseas,Kings Xi Punjab,2009
69,Shikhar Dhawan,5,4,0,40,22,10,45,88.88,0,0,3,0,Indian,Mumbai Indians,2009
70,Shikhar Dhawan,5,4,0,40,22,10,45,88.88,0,0,3,0,Indian,Mumbai Indians,2009
71,Dimitri Mascarenhas,5,4,0,39,27,9.75,39,100,0,0,4,0,Overseas,Rajasthan Royals,2009
72,Moises Henriques,4,3,1,38,30,19,40,95,0,0,2,1,Overseas,Kolkata Knight Riders,2009
73,Munaf Patel,11,5,2,33,23,11,26,126.92,0,0,5,0,Indian,Rajasthan Royals,2009
74,Piyush Chawla,14,10,5,31,8,6.2,36,86.11,0,0,3,0,Indian,Kings Xi Punjab,2009
75,Wilkin Mota,8,6,1,30,12,6,48,62.5,0,0,0,0,Indian,Kings Xi Punjab,2009
77,Brett Lee,5,4,2,28,14,14,34,82.35,0,0,2,1,Overseas,Kings Xi Punjab,2009
78,Amit Mishra,11,5,2,26,13,8.66,20,130,0,0,2,2,Indian,Delhi Capitals,2009
79,Ramesh Powar,9,4,3,23,10,23,22,104.54,0,0,2,0,Indian,Kings Xi Punjab,2009
80,Murali Kartik,10,2,2,21,11,0,20,105,0,0,0,0,Indian,Kolkata Knight Riders,2009
82,Joginder Sharma,4,2,1,20,16,20,18,111.11,0,0,0,1,Indian,Chennai Super Kings,2009
83,Shadab Jakati,9,2,1,20,13,20,15,133.33,0,0,3,0,Indian,Chennai Super Kings,2009
84,Rajesh Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,2,Indian,Royal Challengers Bangalore,2009
86,Niraj Patel,4,2,0,18,14,9,38,47.36,0,0,1,0,Indian,Rajasthan Royals,2009
87,Balachandra Akhil,6,3,1,17,9,8.5,15,113.33,0,0,1,1,Indian,Royal Challengers Bangalore,2009
88,Mahesh Rawat,5,3,3,16,8,0,19,84.21,0,0,1,0,Indian,Rajasthan Royals,2009
89,Ishant Sharma,11,3,1,16,9,8,13,123.07,0,0,1,1,Indian,Kolkata Knight Riders,2009
90,Ishant Sharma,11,3,1,16,9,8,13,123.07,0,0,1,1,Indian,Kolkata Knight Riders,2009
91,Anil Kumble,16,7,6,16,7,16,19,84.21,0,0,2,0,Indian,Royal Challengers Bangalore,2009
92,Angelo Mathews,1,1,0,16,16,16,13,123.07,0,0,2,0,Overseas,Kolkata Knight Riders,2009
93,Wasim Jaffer,2,2,0,15,8,7.5,17,88.23,0,0,2,0,Indian,Royal Challengers Bangalore,2009
94,Graham Napier,1,1,0,15,15,15,16,93.75,0,0,1,0,Overseas,Mumbai Indians,2009
96,Manpreet Gony,7,3,1,13,7,6.5,7,185.71,0,0,0,2,Indian,Chennai Super Kings,2009
97,Saurabh Tiwary,4,3,2,13,6,13,12,108.33,0,0,0,0,Indian,Mumbai Indians,2009
98,Rohan Raje,4,2,1,12,11,12,9,133.33,0,0,0,1,Indian,Mumbai Indians,2009
99,Tyron Henderson,2,2,0,11,11,5.5,16,68.75,0,0,0,1,Overseas,Rajasthan Royals,2009
100,Aakash Chopra,2,1,0,11,11,11,19,57.89,0,0,2,0,Indian,Kolkata Knight Riders,2009
1,Shaun Marsh,11,11,2,616,115,68.44,441,139.68,1,5,59,26,Overseas,Kings Xi Punjab,2008
2,Gautam Gambhir,14,14,1,534,86,41.07,379,140.89,0,5,68,8,Indian,Delhi Capitals,2008
3,Sanath Jayasuriya,14,14,2,518,114,43.16,309,167.63,1,2,58,31,Overseas,Mumbai Indians,2008
4,Shane Watson,15,15,5,472,76,47.2,311,151.76,0,4,47,19,Overseas,Rajasthan Royals,2008
5,Graeme Smith,11,11,2,441,91,49,362,121.82,0,3,54,8,Overseas,Rajasthan Royals,2008
7,Yusuf Pathan,16,15,1,435,68,31.07,243,179.01,0,4,43,25,Indian,Rajasthan Royals,2008
8,Suresh Raina,16,14,3,421,55,38.27,296,142.22,0,3,35,18,Indian,Chennai Super Kings,2008
9,MS Dhoni,16,14,4,414,65,41.4,310,133.54,0,2,38,15,Indian,Chennai Super Kings,2008
10,Virender Sehwag,14,14,2,406,94,33.83,220,184.54,0,3,46,21,Indian,Delhi Capitals,2008
12,Rahul Dravid,14,14,1,371,75,28.53,298,124.49,0,2,35,11,Indian,Royal Challengers Bangalore,2008
13,Sourav Ganguly,13,13,1,349,91,29.08,307,113.68,0,3,33,15,Indian,Kolkata Knight Riders,2008
14,Shikhar Dhawan,14,14,5,340,68,37.77,295,115.25,0,4,35,8,Indian,Delhi Capitals,2008
15,Robin Uthappa,14,14,5,320,48,35.55,279,114.69,0,0,34,9,Indian,Mumbai Indians,2008
16,Kumar Sangakkara,10,9,0,320,94,35.55,198,161.61,0,4,41,8,Overseas,Kings Xi Punjab,2008
17,David Hussey,13,13,2,319,71,29,259,123.16,0,2,19,17,Overseas,Kolkata Knight Riders,2008
18,Swapnil Asnodkar,9,9,0,311,60,34.55,233,133.47,0,2,43,6,Indian,Rajasthan Royals,2008
19,Parthiv Patel,13,13,2,302,54,27.45,297,101.68,0,2,42,3,Indian,Chennai Super Kings,2008
20,Yuvraj Singh,15,14,1,299,57,23,184,162.5,0,1,24,19,Indian,Kings Xi Punjab,2008
22,Albie Morkel,13,10,3,241,71,34.42,163,147.85,0,1,18,14,Overseas,Chennai Super Kings,2008
23,Mark Boucher,10,10,3,225,50,32.14,177,127.11,0,1,24,6,Overseas,Royal Challengers Bangalore,2008
24,James Hopes,11,11,0,221,71,20.09,148,149.32,0,2,27,8,Overseas,Kings Xi Punjab,2008
25,Abhishek Nayar,14,10,2,206,45,25.75,138,149.27,0,0,16,9,Indian,Mumbai Indians,2008
26,Jacques Kallis,11,11,0,199,54,18.09,183,108.74,0,1,23,4,Overseas,Royal Challengers Bangalore,2008
27,Stephen Fleming,10,10,1,196,45,21.77,164,119.51,0,0,27,3,Overseas,Chennai Super Kings,2008
28,Salman Butt,7,7,0,193,73,27.57,161,119.87,0,1,30,2,Overseas,Kolkata Knight Riders,2008
29,Subramaniam Badrinath,16,11,5,192,64,32,130,147.69,0,2,21,8,Indian,Chennai Super Kings,2008
30,Matthew Hayden,4,4,1,189,81,63,131,144.27,0,2,24,6,Overseas,Chennai Super Kings,2008
31,Brendon McCullum,4,4,1,188,158,62.66,92,204.34,1,0,13,15,Overseas,Kolkata Knight Riders,2008
32,Sachin Tendulkar,7,7,1,188,65,31.33,177,106.21,0,1,26,2,Indian,Mumbai Indians,2008
33,Mahela Jayawardene,13,12,5,179,45,25.57,131,136.64,0,0,15,7,Overseas,Kings Xi Punjab,2008
34,Dwayne Bravo,9,7,1,178,64,29.66,134,132.83,0,1,19,5,Overseas,Mumbai Indians,2008
35,Mohammad Kaif,16,14,3,176,34,16,171,102.92,0,0,14,6,Indian,Rajasthan Royals,2008
36,Michael Hussey,4,3,1,168,116,84,100,168,1,0,12,11,Overseas,Chennai Super Kings,2008
38,Virat Kohli,13,12,1,165,38,15,157,105.09,0,0,18,4,Indian,Royal Challengers Bangalore,2008
39,Laxmi Ratan Shukla,13,12,4,163,42,20.37,122,133.6,0,0,17,5,Indian,Kolkata Knight Riders,2008
41,Wriddhiman Saha,12,10,5,159,59,31.8,119,133.61,0,1,12,7,Indian,Kolkata Knight Riders,2008
43,Luke Pomersbach,5,5,4,152,79,152,99,153.53,0,1,13,9,Overseas,Kings Xi Punjab,2008
44,Ross Taylor,4,4,0,149,53,37.25,81,183.95,0,1,13,10,Overseas,Royal Challengers Bangalore,2008
45,Shaun Pollock,13,8,0,147,33,18.37,111,132.43,0,0,12,8,Overseas,Mumbai Indians,2008
46,Vidyut Sivaramakrishnan,9,8,0,145,54,18.12,109,133.02,0,1,21,3,Indian,Chennai Super Kings,2008
47,Dinesh Karthik,13,8,2,145,56,24.16,107,135.51,0,1,13,4,Indian,Delhi Capitals,2008
48,Ravindra Jadeja,14,9,2,135,36,19.28,103,131.06,0,0,11,6,Indian,Rajasthan Royals,2008
49,Irfan Pathan,14,10,4,131,40,21.83,116,112.93,0,0,9,6,Indian,Kings Xi Punjab,2008
50,Kamran Akmal,6,6,1,128,53,25.6,78,164.1,0,1,13,8,Overseas,Rajasthan Royals,2008
51,MF Maharoof,10,8,2,125,39,20.83,79,158.22,0,0,10,7,Overseas,Delhi Capitals,2008
52,Misbah-ul-Haq,8,8,1,117,47,16.71,81,144.44,0,0,10,6,Overseas,Royal Challengers Bangalore,2008
53,Wasim Jaffer,6,6,0,115,50,19.16,104,110.57,0,1,12,3,Indian,Royal Challengers Bangalore,2008
54,Cameron White,8,8,1,114,31,16.28,102,111.76,0,0,8,4,Overseas,Royal Challengers Bangalore,2008
56,Praveen Kumar,13,12,2,112,34,11.2,98,114.28,0,0,10,6,Indian,Royal Challengers Bangalore,2008
58,Manoj Tiwary,9,7,3,104,39,26,85,122.35,0,0,16,0,Indian,Delhi Capitals,2008
59,Tillakaratne Dilshan,7,7,1,104,33,17.33,79,131.64,0,0,14,3,Overseas,Delhi Capitals,2008
60,Debabrata Das,6,6,0,103,31,17.16,94,109.57,0,0,9,5,Indian,Kolkata Knight Riders,2008
61,Niraj Patel,5,4,2,103,57,51.5,81,127.16,0,1,13,1,Indian,Rajasthan Royals,2008
62,Simon Katich,2,2,1,96,75,96,69,139.13,0,1,11,2,Overseas,Kings Xi Punjab,2008
63,AB de Villiers,6,6,1,95,26,19,98,96.93,0,0,5,1,Overseas,Delhi Capitals,2008
64,Piyush Chawla,15,7,3,90,24,22.5,59,152.54,0,0,10,3,Indian,Kings Xi Punjab,2008
65,Shreevats Goswami,4,3,0,82,52,27.33,85,96.47,0,1,9,1,Indian,Royal Challengers Bangalore,2008
67,Karan Goel,7,6,0,76,26,12.66,78,97.43,0,0,7,4,Indian,Kings Xi Punjab,2008
68,Ramnaresh Sarwan,4,4,0,73,31,18.25,75,97.33,0,0,6,1,Overseas,Kings Xi Punjab,2008
69,Shane Warne,15,7,2,70,22,14,59,118.64,0,0,7,2,Overseas,Rajasthan Royals,2008
70,Ajit Agarkar,9,6,1,54,20,10.8,46,117.39,0,0,5,2,Indian,Kolkata Knight Riders,2008
71,Shoaib Malik,7,5,1,52,24,13,47,110.63,0,0,5,0,Overseas,Delhi Capitals,2008
74,Balachandra Akhil,7,7,4,46,27,15.33,31,148.38,0,0,4,3,Indian,Royal Challengers Bangalore,2008
75,Dwayne Smith,4,3,0,45,20,15,40,112.5,0,0,5,1,Overseas,Mumbai Indians,2008
76,Aakash Chopra,5,5,0,42,24,8.4,52,80.76,0,0,5,0,Indian,Kolkata Knight Riders,2008
78,Ricky Ponting,4,4,0,39,20,9.75,53,73.58,0,0,2,1,Overseas,Kolkata Knight Riders,2008
79,Umar Gul,6,4,1,39,24,13,19,205.26,0,0,1,5,Overseas,Kolkata Knight Riders,2008
80,Dominic Thornely,6,4,2,39,30,19.5,53,73.58,0,0,2,2,Overseas,Mumbai Indians,2008
81,Amit Mishra,6,3,0,37,31,12.33,42,88.09,0,0,3,0,Indian,Delhi Capitals,2008
82,Sohail Tanvir,11,5,2,36,13,12,29,124.13,0,0,3,1,Overseas,Rajasthan Royals,2008
83,Manpreet Gony,16,5,4,35,15,35,23,152.17,0,0,2,3,Indian,Chennai Super Kings,2008
84,Luke Ronchi,4,4,0,34,13,8.5,32,106.25,0,0,6,1,Overseas,Mumbai Indians,2008
85,Mahesh Rawat,11,7,3,34,23,8.5,39,87.17,0,0,3,1,Indian,Rajasthan Royals,2008
86,Rajat Bhatia,9,3,1,34,17,17,28,121.42,0,0,2,2,Indian,Delhi Capitals,2008
87,Zaheer Khan,11,8,4,34,17,8.5,43,79.06,0,0,4,0,Indian,Royal Challengers Bangalore,2008
88,Pinal Shah,5,4,0,34,19,8.5,35,97.14,0,0,4,0,Indian,Mumbai Indians,2008
89,Dinesh Salunkhe,6,3,1,33,26,16.5,24,137.5,0,0,5,0,Indian,Rajasthan Royals,2008
90,Tatenda Taibu,3,3,0,31,15,10.33,26,119.23,0,0,3,0,Overseas,Kolkata Knight Riders,2008
91,Harbhajan Singh,3,3,1,30,28,15,17,176.47,0,0,1,3,Indian,Mumbai Indians,2008
92,Murali Kartik,6,3,0,30,17,10,27,111.11,0,0,3,0,Indian,Kolkata Knight Riders,2008
93,Ramesh Powar,5,1,1,28,28,0,21,133.33,0,0,4,1,Indian,Kings Xi Punjab,2008
95,Saurabh Tiwary,3,2,0,26,17,13,20,130,0,0,3,1,Indian,Mumbai Indians,2008
96,Wilkin Mota,4,2,1,26,25,26,27,96.29,0,0,2,0,Indian,Kings Xi Punjab,2008
97,Shivnarine Chanderpaul,3,3,0,25,16,8.33,31,80.64,0,0,4,0,Overseas,Royal Challengers Bangalore,2008
98,Vinay Kumar,8,4,1,25,23,8.33,22,113.63,0,0,2,1,Indian,Royal Challengers Bangalore,2008
99,Musavir Khote,4,3,1,24,9,12,22,109.09,0,0,2,1,Indian,Mumbai Indians,2008
100,Jagadeesh Arunkumar,3,3,0,23,22,7.66,23,100,0,0,5,0,Indian,Royal Challengers Bangalore,2008
