SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,,CATCHES,STUMPING,
1,Smriti Mandanna,INDIA,29,1169,1398,27,43.3,83.6,123,9,1,136,13,55.2,0,0,0,0,0,0,0,0,0,0,0,,17,0,
2,Harmanpreet Kaur,INDIA,29,1130,1358,23,49.1,83.2,143,7,2,110,15,51,16,77,379,9,4.92,42.1,51.3,0,27,4,53.5,,23,0,
3,Jemimah Rodrigues,INDIA,12,263,364,12,21.9,72.3,83,3,0,29,0,59.1,2,4.2,4,5,0.92,0.8,5.2,0,0,0,84.6,,2,0,
4,Shafali Verma,INDIA,21,531,635,20,26.6,83.6,71,4,0,64,6,56.5,2,3,9,1,3,9,18,0,0,0,55.6,,13,0,
5,Deepti Sharma,INDIA,29,512,760,20,25.6,67.4,69,2,0,41,1,54.3,33,263.4,1194,35,4.53,34.1,45.2,5,99,9,55.4,,24,9,
6,Harleen Deol,INDIA,6,127,176,5,25.4,72.2,58,1,0,7,2,54,5,14,69,2,4.93,34.5,42,0,5,1,50,,15,0,
7,Renuka Singh,INDIA,4,2,9,4,0.5,22.2,2,0,0,0,0,77.8,7,58,268,18,4.62,14.9,19.3,0,31,0,62.4,,6,0,
8,Meghna Singh,INDIA,6,27,42,2,13.5,64.3,12,0,0,3,0,61.9,16,114.2,564,16,4.93,35.2,42.9,0,77,0,66.8,,7,0,
9,Richa Ghosh,INDIA,16,311,366,14,22.2,85,65,2,0,25,8,54.1,30,563,422,21,26.8,133.4,47,0,64,18,40.5,,3,0,
10,Rajeshwari Gayakwad,INDIA,8,8,29,5,1.6,27.6,4,0,0,1,0,89.7,27,249.5,981,37,3.93,26.5,40.5,0,87,4,61,,1,0,
11,Sneh Rana,INDIA,15,183,208,12,15.2,88,53,1,0,19,0,48,17,134.3,619,18,4.6,34.4,44.8,0,52,3,54.3,,1,0,
12,Pooja Vastrakar,INDIA,19,383,450,16,23.9,85.1,68,2,0,29,7,47.6,20,114,615,20,5.39,30.8,34.2,0,81,1,55.8,,1,0,
13,Taniya Bhatia,INDIA,6,40,85,4,10,47.1,9,0,0,1,0,63.5,0,0,0,0,0,0,0,0,0,0,0,,10,0,
14,Amanjot Kaur,INDIA,2,18,42,1,18,42.9,15,0,0,1,0,66.7,2,13.5,55,4,3.98,13.8,20.8,0,6,0,75.9,,4,0,
15,Radha Yadav,INDIA,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,68,0,7.03,0,0,0,10,0,43.1,,1,0,
16,Nigar Sultana,BANGLADESH,16,364,670,16,22.8,54.3,73,1,0,20,3,63.7,0,0,0,0,0,0,0,0,0,0,0,,15,5,
17,Rumana Ahmed,BANGLADESH,12,167,261,10,16.7,64,50,1,0,19,0,64.4,14,80.3,291,13,3.61,22.4,37.2,0,19,1,60,,6,0,
18,Nahida Akter,BANGLADESH,12,54,137,7,7.7,39.4,25,0,0,4,0,74.5,20,242.4,909,27,3.75,33.7,53.9,1,47,3,54.4,,4,0,
19,Jahanara Alam,BANGLADESH,6,33,49,3,11,67.3,11,0,0,3,0,53.1,18,188,884,16,4.7,55.2,70.5,0,82,3,57,,2,0,
20,Fahima Khatun,BANGLADESH,10,55,101,7,7.9,54.5,25,0,0,2,0,56.4,15,73.4,322,10,4.37,32.2,44.2,0,23,1,54.3,,4,0,
21,Murshida Khatun,BANGLADESH,13,272,434,11,24.7,62.7,51,1,0,34,1,67.7,0,0,0,0,0,0,0,0,0,0,0,,4,0,
22,Sharmin Akther,BANGLADESH,15,372,661,14,26.6,56.3,130,0,1,38,0,66.6,0,0,0,0,0,0,0,0,0,0,0,,2,0,
23,Rabeya Khan,BANGLADESH,3,15,21,2,7.5,71.4,10,0,0,1,0,47.6,3,21.4,103,4,4.75,25.8,32.5,0,8,0,51.5,,1,0,
24,Shamima Sultana,BANGLADESH,7,157,269,7,22.4,58.4,52,1,0,17,0,66.5,0,0,0,0,0,0,0,0,0,0,0,,1,3,
25,Lata Mondal,BANGLADESH,10,176,291,8,22,60.5,33,0,0,16,0,62.2,7,20,110,1,5.5,110,120,0,9,1,55.8,,3,0,
26,Fargana Hoque,BANGLADESH,19,596,1018,15,39.7,58.5,77,6,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,,11,0,
27,Ritu Moni,BANGLADESH,15,202,325,15,13.5,62.2,33,0,0,20,1,62.5,17,164.3,688,28,4.18,24.6,35.2,1,25,2,47.9,,1,0,
28,Nuzhat Tasnia,BANGLADESH,1,10,24,1,10,41.7,10,0,0,0,0,70.8,0,0,0,0,0,0,0,0,0,0,0,,1,1,
29,Salma Khatun,BANGLADESH,9,115,143,5,23,80.4,32,0,0,9,0,51,14,204.2,780,34,3.82,22.9,36.1,1,20,4,52.4,,2,0,
30,Sobhana Mostary,BANGLADESH,3,25,38,3,8.3,65.8,13,0,0,1,1,57.9,0,0,0,0,0,0,0,0,0,0,0,,1,0,
31,Inoka Ranaweera,SRI LANKA,9,47,159,7,6.7,29.6,12,0,0,3,0,77.4,13,108.4,512,12,4.71,42.7,54.3,0,38,4,50.3,,0,0,
32,Sugandika Kumari,SRI LANKA,4,17,48,3,5.7,35.4,10,0,0,1,0,70.8,7,50,296,6,5.92,49.3,50,0,27,3,52,,1,0,
33,Inoshi Priyadharshani,SRI LANKA,0,0,0,0,0,0,0,0,0,0,0,0,1,7,28,0,4,0,0,0,2,0,57.1,,0,0,
34,Chamari Athapaththu,SRI LANKA,15,815,762,13,62.7,107,140,1,5,94,27,52.2,11,43.3,234,7,5.38,33.4,37.3,0,17,3,45.6,,1,0,
35,Oshadi Ranasinghe,SRI LANKA,11,88,170,10,8.8,51.8,23,0,0,5,0,61.2,13,97.5,513,20,5.24,25.6,29.4,1,32,10,47.2,,4,0,
36,Harshitha Samarawickrama,SRI LANKA,13,312,480,11,28.4,65,75,1,0,21,2,56,1,1,10,0,10,0,0,0,1,0,83.3,,5,0,
37,Nilakshi de Silva,SRI LANKA,14,307,473,11,27.9,64.9,48,0,0,25,1,56.7,2,11,59,0,5.36,0,0,0,2,0,59.1,,4,0,
38,Kavisha Dilhari,SRI LANKA,9,245,309,8,30.6,79.3,84,1,0,23,2,52.1,10,61,305,4,5,76.2,91.5,0,20,2,47.3,,2,4,
39,Anushka Sanjeewani,SRI LANKA,10,157,270,10,15.7,58.1,36,0,0,11,0,58.5,0,0,0,0,0,0,0,0,0,0,0,,6,2,
40,Achini Kulasuriya,SRI LANKA,6,17,39,4,4.2,43.6,12,0,0,2,0,76.9,9,56,291,5,5.2,58.2,67.2,0,32,0,55.4,,1,0,
41,Ama Kanchana,SRI LANKA,5,70,165,4,17.5,42.4,47,0,0,3,0,66.7,3,16.4,106,1,6.36,106,100,0,12,1,54,,6,0,
42,Hasini Perera,SRI LANKA,7,124,193,7,17.7,64.2,39,0,0,12,0,65.3,0,0,0,0,0,0,0,0,0,0,0,,2,0,
43,Udeshika Prabodhani,SRI LANKA,4,27,102,0,0,26.5,13,0,0,1,0,83.3,8,52.5,245,7,4.64,35,45.3,0,24,0,53.3,,1,0,
44,Hansima Karunaratne,SRI LANKA,5,56,158,5,11.2,35.4,27,0,0,7,0,81,0,0,0,0,0,0,0,0,0,0,0,,0,0,
45,Prasadani Weerakkody,SRI LANKA,4,80,145,4,20,55.2,30,0,0,6,0,66.2,0,0,0,0,0,0,0,0,0,0,0,,8,6,
46,Nida Dar,PAKISTAN,25,646,965,22,29.4,66.9,87.7,7,0,53,6,56.9,28,218.2,953,27,4.36,35.3,48.5,0,83,7,59,,15,0,
47,F Sana,PAKISTAN,25,237,367,20,11.8,64.6,28,0,0,19,1,57.5,30,213,1100,45,5.14,24.4,28.5,1,130,1,61.3,,5,0,
48,Muneeba Ali,PAKISTAN,24,657,1018,23,28.6,64.5,107,2,1,78,3,64.1,0,0,0,0,0,0,0,0,0,0,0,,15,3,
49,Sadia Iqbal,PAKISTAN,5,6,14,2,3,42.9,2,0,0,0,0,64.3,12,92.3,393,10,4.25,39.3,55.5,0,41,2,62,,2,0,
50,Omaima Sohail,PAKISTAN,30,654,1048,26,25.2,62.4,65,3,0,66,0,62.2,22,110,494,17,4.49,29.1,38.8,0,36,2,55.1,,5,0,
51,Nashra Sandhu,PAKISTAN,15,46,116,6,7.7,39.7,11,0,0,2,0,67.2,25,221.4,953,34,4.3,28,39.1,0,83,8,58.3,,15,0,
52,Ghulam Fatima,PAKISTAN,2,5,8,1,5,62.5,5,0,0,0,0,50,8,71,278,15,3.92,18.5,28.4,1,22,0,58,,2,0,
53,Diana Baig,PAKISTAN,22,165,212,17,9.7,77.8,35,0,0,14,1,52.4,28,189,866,21,4.58,41.2,54,0,100,4,66.3,,13,0,
54,Ayesha Naseem,PAKISTAN,4,33,37,4,8.2,89.2,16,0,0,2,2,56.8,0,0,0,0,0,0,0,0,0,0,0,,1,0,
55,Javeria Khan,PAKISTAN,18,338,625,18,18.7,53.8,48,0,0,38,0,68.5,0,0,0,0,0,0,0,0,0,0,0,,6,2,
56,Bismah Maroof,PAKISTAN,19,682,981,14,48.7,69.5,78,6,0,58,0,54.7,4,17,98,1,5.76,98,102,0,7,1,50,,4,0,
57,Sadaf Shamas,PAKISTAN,3,105,136,3,35,77.2,72,1,0,13,0,55.9,0,0,0,0,0,0,0,0,0,0,0,,2,0,
58,Sidra Nawaz,PAKISTAN,20,183,379,18,10.2,48.3,23,0,0,13,0,67,9,99,100,6,16.5,99,22,0,11,2,48,,20,10,
59,Aliya Riaz,PAKISTAN,27,693,1043,24,28.9,66.4,81,4,0,55,12,59.6,11,48.5,280,1,5.73,280,293,0,26,1,47.4,,6,0,
60,Kainat Imtiaz,PAKISTAN,6,83,192,6,13.8,432,24,0,0,5,0,70.8,5,27,155,1,5.74,155,162,0,15,0,52.5,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
