SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,INNINGS,OVERS,RUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,FOURS,SIXES,BOWLINGDOTPERCENT,CATCHES
1,Deepti Sharma,INDIA,29,512,760,20,25.6,67.4,69,2,0,41,1,54.3,33,263.4,1194,35,4.53,34.1,45.2,5,99,9,55.4,24
2,Renuka Singh,INDIA,4,2,9,4,0.5,22.2,2,0,0,0,0,77.8,7,58.2,268,18,4.62,14.9,19.3,0,31,0,62.4,6
3,Meghna Singh,INDIA,6,27,42,2,13.5,64.3,12,0,0,3,0,61.9,16,114.2,564,16,4.93,35.2,42.9,0,77,0,66.8,7
4,Rajeshwari Gayakwad,INDIA,8,8,29,5,1.6,27.6,4,0,0,1,0,89.7,27,249.5,981,37,3.93,26.5,40.5,0,87,4,61.1,1
5,Sneh Rana,INDIA,15,183,208,12,15.2,88.1,53,1,0,19,0,48.2,17,134.3,619,18,4.6,34.4,44.8,0,52,3,54.3,1
6,Pooja Vastrakar,INDIA,19,383,450,16,23.9,85.1,68,2,0,29,7,47.6,20,114.2,615,20,5.39,30.8,34.2,0,81,1,55.8,1
7,Amanjot Kaur,INDIA,2,18,42,1,18,42.9,15,0,0,1,0,66.7,2,13.5,55,4,3.98,13.8,20.8,0,6,0,75.9,4
8,T McGrath,AUSTRALIA,14,383,421,11,34.8,91.1,74,2,0,45,3,50.8,18,103.2,534,16,5.17,33.4,38.8,0,49,2,56.1,0
9,E Perry,AUSTRALIA,24,751,987,15,50.1,76.1,112,4,1,69,5,51.9,24,111.1,482,17,4.34,28.4,39.2,0,51,0,76.4,1
10,A Sutherland,AUSTRALIA,10,196,250,7,28.2,78.4,50,1,0,17,4,53.6,16,88.2,409,16,4.65,25.6,33.1,0,38,3,64.8,3
11,G Wareham,AUSTRALIA,6,139,91,2,69.5,152.7,65,1,0,10,6,25.3,16,131.2,543,21,4.15,25.9,37.4,0,41,7,58.5,19
12,K Garth,AUSTRALIA,1,2,8,1,2.2,25.1,2,0,0,0,0,75.2,2,16.1,57,0,3.56,0.1,0.1,0,7,0,88.5,34
13,A King,AUSTRALIA,4,20,41,4,5.2,48.8,18,0,0,2,0,68.3,16,126.1,561,21,4.45,26.7,36.1,0,46,6,55.2,11
14,S Molineux,AUSTRALIA,6,62,73,5,12.4,84.9,26,0,0,6,1,49.3,9,72.3,226,17,3.12,13.3,25.6,0,19,3,70.3,16
15,N Carey,AUSTRALIA,11,153,156,6,25.5,98.1,39,0,0,12,0,37.2,21,134.5,551,17,4.09,32.4,47.6,0,48,2,59.1,21
16,A Gardener,AUSTRALIA,39,781,670,31,25.2,116.6,67,4,0,82,29,48.4,51,365.2,1504,66,4.12,22.8,33.2,0,119,16,59.3,1
17,A Wellington,AUSTRALIA,5,6,17,4,1.5,35.3,3,0,0,0,0,70.6,13,100.1,494,17,4.94,29.1,35.3,0,48,2,54.7,0
19,S Luus,SOUTH AFRICA,30,771,1229,29,26.6,62.7,93,5,0,153,3,61.6,79,508.2,2271,99,4.47,22.9,30.8,3,194,14,57.4,3
20,C Tryon,SOUTH AFRICA,62,1487,1392,53,28.1,106.8,92,9,0,131,58,49.2,51,301.1,1313,29,4.36,45.3,62.3,0,127,4,63.1,19
21,T Brits,SOUTH AFRICA,12,229,424,12,19.1,54.2,48,0,0,33,1,72.4,35,794.2,787,27,29.4,100.9,70.1,7,90,8,45.6,2
22,N Klerk,SOUTH AFRICA,17,171,288,14,12.2,59.4,38,0,0,14,1,63.5,22,152.4,726,23,4.76,31.6,39.8,0,81,6,65.8,1
23,A Khaka,SOUTH AFRICA,11,33,80,5,6.6,41.2,10,0,0,2,0,70.5,32,263.1,1093,51,4.51,21.4,31.1,1,105,5,66.3,5
24,T Sekhukhune,SOUTH AFRICA,4,10,48,3,3.3,20.8,6,0,0,0,0,81.2,15,116.4,543,11,4.65,49.4,63.6,0,62,3,63.9,1
25,M kapp,SOUTH AFRICA,21,643,693,13,49.5,92.8,73,4,0,76,5,49.8,26,218.3,920,33,4.21,27.9,39.7,1,93,2,67.2,12
26,Sophie Ecclestone,ENGLAND,26,246,341,18,13.7,72.1,33,0,0,17,3,52.8,37,345.2,1287,58,3.73,22.2,35.7,1,123,9,65.7,15
27,Nat Scivar-Brunt,ENGLAND,3,271,289,2,135.5,93.8,129,0,2,29,1,42.9,3,24.5,120,3,4.83,40.1,49.7,0,9,0,51,4
28,Lauren Bell,ENGLAND,2,12,19,1,12.1,63.2,11,0,0,1,0,57.9,8,69.1,454,14,6.58,32.4,29.6,0,50,10,63,2
29,Freya Davies,ENGLAND,5,13,42,3,4.3,31.1,10,0,0,1,0,78.6,9,70.3,311,10,4.41,31.1,423.1,0,35,0,66.9,2
30,Freya Kemp,ENGLAND,2,17,21,2,8.5,81.2,12,0,0,1,0,47.6,2,17.1,106,3,6.24,35.3,34.1,0,12,2,59.8,0
31,Alice Davidson-Richards,ENGLAND,3,54,75,1,54.3,72.1,50,1,0,4,0,49.3,3,18.1,101,4,5.61,25.2,27.1,0,9,3,61.1,2
32,Kate Cross,ENGLAND,18,173,225,16,10.8,76.9,29,0,0,19,1,56.4,33,256.3,1200,50,4.68,24.1,30.8,1,150,6,65.2,15
33,Sarah Glenn,ENGLAND,4,42,62,3,14.7,67.7,22,0,0,3,0,54.8,11,82.5,363,14,4.38,25.9,35.5,0,29,3,54.7,1
34,Rumana Ahmed,BANGLADESH,12,167,261,10,16.7,64.2,50,1,0,19,0,64.4,14,80.3,291,13,3.61,22.4,37.2,0,19,1,60.1,6
35,Nahida Akter,BANGLADESH,12,54,137,7,7.7,39.4,25,0,0,4,0,74.5,20,242.4,909,27,3.75,33.7,53.9,1,47,3,54.4,4
36,Jahanara Alam,BANGLADESH,6,33,49,3,11.1,67.3,11,0,0,3,0,53.1,18,188.2,884,16,4.7,55.2,70.5,0,82,3,57.1,2
37,Fahima Khatun,BANGLADESH,10,55,101,7,7.9,54.5,25,0,0,2,0,56.4,15,73.4,322,10,4.37,32.2,44.2,0,23,1,54.3,4
38,Ritu Moni,BANGLADESH,15,202,325,15,13.5,62.2,33,0,0,20,1,62.5,17,164.3,688,28,4.18,24.6,35.2,1,25,2,47.9,1
39,Salma Khatun,BANGLADESH,9,115,143,5,23.1,80.4,32,0,0,9,0,51.2,14,204.2,780,34,3.82,22.9,36.1,1,20,4,52.4,2
40,Inoka Ranaweera,SRI LANKA,9,47,159,7,6.7,29.6,12,0,0,3,0,77.4,13,108.4,512,12,4.71,42.7,54.3,0,38,4,50.3,0
41,Sugandika Kumari,SRI LANKA,4,17,48,3,5.7,35.4,10,0,0,1,0,70.8,7,50.2,296,6,5.92,49.3,50.1,0,27,3,52.1,1
42,Chamari Athapaththu,SRI LANKA,15,815,762,13,62.7,107.2,140,1,5,94,27,52.2,11,43.3,234,7,5.38,33.4,37.3,0,17,3,45.6,1
43,Oshadi Ranasinghe,SRI LANKA,11,88,170,10,8.8,51.8,23,0,0,5,0,61.2,13,97.5,513,20,5.24,25.6,29.4,1,32,10,47.2,4
44,Achini Kulasuriya,SRI LANKA,6,17,39,4,4.2,43.6,12,0,0,2,0,76.9,9,56.1,291,5,5.2,58.2,67.2,0,32,0,55.4,1
46,Udeshika Prabodhani,SRI LANKA,4,27,102,0,0.2,26.5,13,0,0,1,0,83.3,8,52.5,245,7,4.64,35.1,45.3,0,24,0,53.3,1
47,Nida Dar,PAKISTAN,25,646,965,22,29.4,66.9,87.7,7,0,53,6,56.9,28,218.2,953,27,4.36,35.3,48.5,0,83,7,59.1,15
48,F Sana,PAKISTAN,25,237,367,20,11.8,64.6,28,0,0,19,1,57.5,30,213.1,1100,45,5.14,24.4,28.5,1,130,1,61.3,5
49,Sadia Iqbal,PAKISTAN,5,6,14,2,3.2,42.9,2,0,0,0,0,64.3,12,92.3,393,10,4.25,39.3,55.5,0,41,2,62.1,2
50,Omaima Sohail,PAKISTAN,30,654,1048,26,25.2,62.4,65,3,0,66,0,62.2,22,110.1,494,17,4.49,29.1,38.8,0,36,2,55.1,5
51,Nashra Sandhu,PAKISTAN,15,46,116,6,7.7,39.7,11,0,0,2,0,67.2,25,221.4,953,34,4.3,28.1,39.1,0,83,8,58.3,15
52,Ghulam Fatima,PAKISTAN,2,5,8,1,5.7,62.5,5,0,0,0,0,50.2,8,71.2,278,15,3.92,18.5,28.4,1,22,0,58.1,2
53,Diana Baig,PAKISTAN,22,165,212,17,9.7,77.8,35,0,0,14,1,52.4,28,189.1,866,21,4.58,41.2,54.1,0,100,4,66.3,13
55,Hayley Mathews,WEST INDIES,34,1008,1415,33,30.5,71.2,119,2,3,110,6,59.9,36,294.4,1132,53,3.84,21.4,33.4,0,92,5,61.7,20
56,Stefanie Taylor,WEST INDIES,82,2339,3216,74,31.6,72.7,114,14,3,233,35,60.2,70,389.5,1848,58,4.74,31.9,40.3,0,148,33,58.5,30
57,Shamilila Connell,WEST INDIES,15,50,103,7,7.1,48.5,15,0,0,6,0,70.9,29,189.2,867,28,4.58,31.1,40.6,0,95,3,67.1,3
58,Shakera Selman,WEST INDIES,12,69,163,7,9.9,42.3,18,0,0,3,0,66.9,24,159.2,665,22,4.17,30.2,43.5,0,43,9,61.8,6
59,Aaliyah Alleyne,WEST INDIES,17,129,280,13,9.9,46.1,27,0,0,12,0,71.1,18,101.2,495,14,4.9,35.4,43.3,0,50,2,70.3,6
60,Chinelle Henry,WEST INDIES,29,408,535,26,15.7,76.3,53,2,0,43,1,56.1,34,185.3,975,27,5.26,36.1,41.2,0,101,7,59.1,16
61,Karishma Ramharack,WEST INDIES,11,39,114,9,4.3,34.2,8,0,0,1,0,74.6,16,105.2,447,13,4.24,34.4,48.6,0,38,3,60.8,7
62,Sophie Devina,NEW ZEALAND,35,1632,1755,49,33.3,93.1,660,2,3,169,7,43.6,28,167.5,829,23,4.94,36.1,43.8,0,90,10,68.1,38
63,Eden Carson,NEW ZEALAND,1,0,2,0,11.1,0.2,0,0,0,0,0,99.9,4,30.1,145,5,4.83,29.1,36.1,0,12,3,60.1,1
64,Hayley Jensen,NEW ZEALAND,22,237,328,21,11.3,72.3,53,1,0,28,1,59.5,25,146.1,776,21,5.31,37.1,41.8,0,85,7,58.1,1
65,Amelia Kerr,NEW ZEALAND,33,1380,1895,26,53.1,72.8,352,5,3,95,3,49.9,32,268.4,1264,31,4.7,40.8,52.1,0,103,10,54.2,18
66,Jess Kerr,NEW ZEALAND,19,141,138,14,10.1,102.2,28,0,0,16,2,46.4,24,181.1,728,32,4.02,22.8,34.1,0,71,3,65.1,5
